timestamp,open,high,low,close,volume,ema_9,ema_21,rsi,vwap
2025-11-08 15:04:06.447459,1800.0,1817.8,1768.71,1792.13,21729,1797.41,1785.09,54.36,1794.99
2025-11-08 15:19:06.447459,1792.13,1741.18,1706.0,1738.16,14506,1730.71,1737.09,59.06,1740.68
2025-11-08 15:34:06.447459,1738.16,1868.4,1830.68,1836.31,24244,1844.44,1827.41,53.48,1839.03
2025-11-08 15:49:06.447459,1836.31,1814.18,1783.71,1804.76,23582,1801.34,1795.48,42.86,1806.43
2025-11-08 16:04:06.447459,1804.76,1878.44,1850.52,1867.34,18022,1868.73,1851.83,32.5,1869.73
2025-11-08 16:19:06.447459,1867.34,1853.08,1828.28,1837.95,75970,1834.66,1827.05,63.76,1840.53
2025-11-08 16:34:06.447459,1837.95,1794.09,1759.87,1787.79,26750,1789.11,1789.41,58.49,1787.32
2025-11-08 16:49:06.447459,1787.79,1747.38,1698.18,1722.45,17324,1721.9,1739.47,33.09,1721.35
2025-11-08 17:04:06.447459,1722.45,1701.9,1670.62,1675.95,38365,1680.02,1664.42,65.59,1675.96
2025-11-08 17:19:06.447459,1675.95,1656.57,1635.66,1641.62,74192,1644.87,1648.03,46.07,1642.24
2025-11-08 17:34:06.447459,1641.62,1700.21,1648.87,1681.61,22714,1689.32,1682.1,31.38,1678.82
2025-11-08 17:49:06.447459,1681.61,1716.09,1666.39,1686.05,49309,1684.47,1692.49,35.88,1686.56
2025-11-08 18:04:06.447459,1686.05,1750.23,1688.47,1716.25,39066,1719.65,1704.31,33.26,1714.44
2025-11-08 18:19:06.447459,1716.25,1770.29,1718.33,1749.52,43930,1757.57,1760.65,35.49,1752.49
2025-11-08 18:34:06.447459,1749.52,1775.75,1761.94,1766.75,65518,1774.31,1777.21,62.13,1763.4
2025-11-08 18:49:06.447459,1766.75,1779.41,1744.2,1750.89,74646,1748.04,1753.48,50.62,1752.56
2025-11-08 19:04:06.447459,1750.89,1751.42,1709.91,1732.97,12853,1729.01,1735.7,33.78,1730.18
2025-11-08 19:19:06.447459,1732.97,1835.7,1781.09,1814.43,48245,1814.97,1801.15,48.52,1813.32
2025-11-08 19:34:06.447459,1814.43,1789.51,1750.69,1778.68,68586,1776.55,1776.4,41.07,1775.85
